ix,iy,x_m,y_m,depth_m,seabed_z_m
153,1,580.1098317928745,-800.3652642291661,2.7639958029240947,-2.7639958029240947
154,1,589.383168393623,-800.3652642291661,2.8763906634572396,-2.8763906634572396
155,1,598.6565049943713,-800.3652642291661,2.988785523990381,-2.988785523990381
156,1,607.9298415951198,-800.3652642291661,3.0982621678270705,-3.0982621678270705
157,1,617.2031781958681,-800.3652642291661,3.2034830789814284,-3.2034830789814284
158,1,626.4765147966166,-800.3652642291661,3.308703990135789,-3.308703990135789
159,1,635.7498513973649,-800.3652642291661,3.4002563932361305,-3.4002563932361305
160,1,645.0231879981131,-800.3652642291661,3.4670753055720622,-3.4670753055720622
161,1,654.2965245988619,-800.3652642291661,3.533894217907998,-3.533894217907998
162,1,663.5698611996102,-800.3652642291661,3.58510773571229,-3.58510773571229
163,1,672.8431978003584,-800.3652642291661,3.600775632638957,-3.600775632638957
164,1,682.1165344011072,-800.3652642291661,3.6164435295656236,-3.6164435295656236
165,1,691.3898710018555,-800.3652642291661,3.6191259094441977,-3.6191259094441977
166,1,700.6632076026037,-800.3652642291661,3.583717439315035,-3.583717439315035
167,1,709.9365442033522,-800.3652642291661,3.5483089691858725,-3.5483089691858725
168,1,719.2098808041007,-800.3652642291661,3.5042092870860477,-3.5042092870860477
169,1,728.4832174048493,-800.3652642291661,3.426069024767803,-3.426069024767803
170,1,737.7565540055975,-800.3652642291661,3.34792876244956,-3.34792876244956
171,1,747.0298906063458,-800.3652642291661,3.265908365153635,-3.265908365153635
172,1,756.3032272070946,-800.3652642291661,3.1623316624261375,-3.1623316624261375
173,1,765.5765638078428,-800.3652642291661,3.0587549596986445,-3.0587549596986445
